ID,Region,Community,Latitude,Longitude,Transmission_A,Transmission_B,Transmission_C,Use of trained animal healthcare professional,Frequency of antibiotic purchase,Livestock_1 herd size,Livestock_2 herd size,Livestock_3 herd size,Livestock_1 Disease priority,Livestock_2 Disease priority,Livestock_3 Disease priority,Mixing antibiotics in the same animal,Not completing course,Not measuring dose accurately,Using for prevention,Drink milk from treated animals,Eat meat from treated animals
131,Gujarat,Ambaliyasan,23.4515744,72.4068246,0,1,1,0,1,0,2,0,0,2,0,0,1,0,0,0,0
132,Gujarat,Ambaliyasan,23.4515744,72.4068246,1,1,1,0,1,0,3,0,0,2,0,0,1,0,0,1,0
133,Gujarat,Ambaliyasan,23.4515744,72.4068246,0,1,1,0,2,0,1,0,0,2,0,0,1,0,0,0,0
134,Gujarat,Ambaliyasan,23.4515744,72.4068246,1,1,1,1,0,0,2,0,0,2,0,0,1,0,0,0,0
137,Gujarat,Ambaliyasan,23.4515744,72.4068246,1,1,1,1,5,0,3,0,0,1,0,0,1,0,0,0,0
138,Gujarat,Ambaliyasan,23.4515744,72.4068246,1,1,1,1,0,0,6,0,0,2,0,0,1,0,0,1,0
139,Gujarat,Ambaliyasan,23.4515744,72.4068246,0,1,1,1,1,0,3,0,0,2,0,0,1,0,0,1,0
140,Gujarat,Ambaliyasan,23.4515744,72.4068246,1,1,1,2,1,0,6,0,0,2,0,0,1,0,0,1,0
141,Gujarat,Ambaliyasan,23.4515744,72.4068246,1,1,1,1,3,0,7,0,0,2,0,0,1,0,0,0,0
142,Gujarat,Ambaliyasan,23.4515744,72.4068246,1,1,1,0,0,0,8,0,0,2,0,0,1,0,0,1,0
143,Gujarat,Ambaliyasan,23.4515744,72.4068246,0,1,1,0,1,0,4,0,0,2,0,0,1,0,0,1,0
144,Gujarat,Ambaliyasan,23.4515744,72.4068246,1,1,1,1,2,0,2,0,0,2,0,0,1,0,0,1,0
145,Gujarat,Ambaliyasan,23.4515744,72.4068246,1,1,1,0,1,0,1,0,0,2,0,0,1,0,1,0,0
146,Gujarat,Ambaliyasan,23.4515744,72.4068246,0,1,1,0,0,0,3,0,0,2,0,0,1,0,0,0,0
147,Gujarat,Ambaliyasan,23.4515744,72.4068246,0,1,1,0,1,0,2,0,0,2,0,0,1,0,0,1,0
85,Gujarat,Baliyasan,23.4594535,72.3875732,1,1,1,0,2,16,1,0,0,0,0,0,0,0,0,0,0
86,Gujarat,Baliyasan,23.4594535,72.3875732,1,0,1,0,5,3,4,0,0,1,0,0,1,0,0,0,0
87,Gujarat,Baliyasan,23.4594535,72.3875732,0,1,1,0,3,2,0,0,2,0,0,0,0,0,0,0,0
88,Gujarat,Baliyasan,23.4594535,72.3875732,1,1,1,0,1,1,2,0,2,2,0,0,0,0,0,0,0
89,Gujarat,Baliyasan,23.4594535,72.3875732,0,1,1,0,4,0,5,0,0,2,0,0,0,0,0,1,0
148,Gujarat,Baliyasan,23.4594535,72.3875732,0,1,1,0,0,1,0,1,1,0,0,0,1,0,0,1,0
84,Gujarat,Bhasariya,23.4586621,72.3759809,1,1,1,0,0,0,3,0,0,2,0,0,1,0,0,0,0
116,Gujarat,Bhasariya,23.4586621,72.3759809,0,1,1,0,2,0,7,0,0,2,0,1,1,0,0,0,0
117,Gujarat,Bhasariya,23.4586621,72.3759809,1,1,1,0,0,0,4,0,0,2,0,0,1,0,1,0,0
118,Gujarat,Bhasariya,23.4586621,72.3759809,0,0,1,0,4,3,2,0,1,2,0,1,1,0,1,0,0
119,Gujarat,Bhasariya,23.4586621,72.3759809,0,1,1,0,1,5,8,0,0,2,0,0,1,0,1,1,0
120,Gujarat,Bhasariya,23.4586621,72.3759809,0,1,1,0,1,0,3,0,0,1,0,0,1,0,0,0,0
121,Gujarat,Bhasariya,23.4586621,72.3759809,1,1,1,0,0,0,1,0,0,2,0,0,1,0,1,0,0
122,Gujarat,Bhasariya,23.4586621,72.3759809,1,1,1,0,1,0,2,0,0,0,0,0,1,0,0,0,0
123,Gujarat,Bhasariya,23.4586621,72.3759809,1,1,1,0,1,0,4,0,0,2,0,0,1,0,0,0,0
124,Gujarat,Bhasariya,23.4586621,72.3759809,1,0,1,0,0,0,2,0,0,2,0,0,1,0,0,0,0
125,Gujarat,Bhasariya,23.4586621,72.3759809,1,1,1,0,2,0,6,0,0,1,0,0,1,0,0,0,0
126,Gujarat,Bhasariya,23.4586621,72.3759809,1,1,1,0,5,2,6,0,0,2,0,0,1,0,0,0,0
127,Gujarat,Bhasariya,23.4586621,72.3759809,1,1,1,0,0,0,3,0,0,2,0,0,1,0,0,0,0
129,Gujarat,Bhasariya,23.4586621,72.3759809,0,1,1,0,0,0,3,0,0,2,0,0,1,0,0,1,0
130,Gujarat,Bhasariya,23.4586621,72.3759809,1,1,1,0,0,2,2,0,0,2,0,0,1,0,0,0,0
135,Gujarat,Bhasariya,23.4586621,72.3759809,1,1,1,0,1,1,9,0,1,2,0,0,1,0,1,0,0
136,Gujarat,Bhasariya,23.4586621,72.3759809,0,0,1,0,0,0,1,1,0,2,0,0,1,0,0,0,0
98,Gujarat,Jagudan,23.5152376,72.4109539,1,1,1,0,2,0,4,0,0,0,0,0,1,0,0,1,0
99,Gujarat,Jagudan,23.5152376,72.4109539,1,1,1,0,1,2,2,0,0,0,0,0,1,0,0,0,0
100,Gujarat,Jagudan,23.5152376,72.4109539,1,1,1,0,3,0,1,0,0,2,0,0,1,0,0,0,0
101,Gujarat,Jagudan,23.5152376,72.4109539,1,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0
102,Gujarat,Jagudan,23.5152376,72.4109539,1,1,1,1,1,5,0,0,1,0,0,0,1,0,0,1,0
103,Gujarat,Jagudan,23.5152376,72.4109539,1,1,1,1,1,2,2,0,0,2,0,0,1,0,0,0,0
104,Gujarat,Jagudan,23.5152376,72.4109539,0,1,1,0,1,2,2,0,2,2,0,0,1,0,0,0,0
105,Gujarat,Jagudan,23.5152376,72.4109539,1,1,1,0,1,0,2,0,0,1,0,0,1,0,0,0,0
106,Gujarat,Jagudan,23.5152376,72.4109539,1,1,1,1,1,3,3,0,0,2,0,0,1,0,0,0,0
107,Gujarat,Jagudan,23.5152376,72.4109539,1,1,1,0,3,1,2,0,2,1,0,0,1,0,0,1,0
108,Gujarat,Jagudan,23.5152376,72.4109539,1,1,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0
109,Gujarat,Jagudan,23.5152376,72.4109539,1,1,1,0,1,1,0,0,2,0,0,0,1,0,0,1,0
110,Gujarat,Jagudan,23.5152376,72.4109539,0,1,1,0,1,0,0,20,0,0,0,0,1,0,0,0,0
111,Gujarat,Jagudan,23.5152376,72.4109539,0,1,1,0,3,5,2,0,2,2,0,0,1,0,0,1,0
112,Gujarat,Jagudan,23.5152376,72.4109539,1,1,1,0,1,0,3,0,0,2,0,0,1,0,0,1,0
113,Gujarat,Jagudan,23.5152376,72.4109539,1,1,1,0,1,1,0,0,2,0,0,0,1,0,0,1,0
114,Gujarat,Jagudan,23.5152376,72.4109539,0,1,1,0,2,0,2,0,0,2,0,0,1,0,0,1,0
115,Gujarat,Jagudan,23.5152376,72.4109539,1,1,1,2,0,0,0,1,0,0,0,0,1,0,0,1,0
162,Gujarat,Jagudan,23.5152376,72.4109539,1,1,1,0,2,3,0,0,2,0,0,0,1,0,0,0,0
163,Gujarat,Jagudan,23.5152376,72.4109539,1,1,1,1,0,5,2,0,1,0,0,0,1,0,0,1,0
164,Gujarat,Jagudan,23.5152376,72.4109539,1,1,1,0,2,0,2,0,0,2,0,0,1,0,1,1,0
165,Gujarat,Jagudan,23.5152376,72.4109539,1,1,0,2,1,0,0,3,0,0,0,0,1,0,0,0,0
166,Gujarat,Jagudan,23.5152376,72.4109539,1,1,1,0,1,1,1,0,0,0,0,0,1,0,0,1,0
167,Gujarat,Jagudan,23.5152376,72.4109539,1,1,1,0,2,0,1,0,0,2,0,0,1,0,0,0,0
168,Gujarat,Jagudan,23.5152376,72.4109539,0,1,1,1,1,0,1,0,0,1,0,0,1,0,0,1,0
169,Gujarat,Jagudan,23.5152376,72.4109539,0,1,1,0,1,0,0,8,0,0,0,0,1,0,0,0,0
170,Gujarat,Jagudan,23.5152376,72.4109539,1,1,1,1,1,1,1,0,1,2,0,0,1,0,0,0,0
171,Gujarat,Jagudan,23.5152376,72.4109539,0,1,1,0,2,1,0,0,2,0,0,0,1,0,0,0,0
172,Gujarat,Jagudan,23.5152376,72.4109539,0,1,1,0,2,0,1,0,0,2,0,0,0,0,0,0,0
173,Gujarat,Jagudan,23.5152376,72.4109539,0,1,1,0,0,0,2,0,0,2,0,0,1,0,0,0,0
174,Gujarat,Jagudan,23.5152376,72.4109539,1,1,1,1,1,0,2,0,0,2,0,0,1,0,0,0,0
175,Gujarat,Jagudan,23.5152376,72.4109539,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
176,Gujarat,Jagudan,23.5152376,72.4109539,1,1,1,0,1,0,5,0,0,0,0,0,1,0,0,0,0
177,Gujarat,Jagudan,23.5152376,72.4109539,1,0,1,0,1,6,0,0,1,0,0,0,1,0,0,0,0
178,Gujarat,Jagudan,23.5152376,72.4109539,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0,1,0
179,Gujarat,Jagudan,23.5152376,72.4109539,0,1,1,1,2,0,4,0,0,2,0,0,1,0,0,1,0
180,Gujarat,Jagudan,23.5152376,72.4109539,1,1,1,0,2,0,4,0,0,2,0,0,1,0,0,1,0
181,Gujarat,Jagudan,23.5152376,72.4109539,1,1,1,0,7,0,8,0,0,1,0,0,1,0,0,0,0
182,Gujarat,Jagudan,23.5152376,72.4109539,1,1,1,0,3,2,0,0,1,0,0,0,1,0,0,1,0
183,Gujarat,Jagudan,23.5152376,72.4109539,1,1,1,0,2,2,1,0,1,2,0,0,1,0,0,0,0
184,Gujarat,Jagudan,23.5152376,72.4109539,0,1,1,1,1,5,2,0,2,2,0,0,1,0,0,0,0
185,Gujarat,Jagudan,23.5152376,72.4109539,1,1,1,1,5,0,4,0,0,1,0,0,1,0,0,0,0
186,Gujarat,Jagudan,23.5152376,72.4109539,0,1,1,0,2,0,2,0,0,1,0,0,1,0,0,1,0
187,Gujarat,Jagudan,23.5152376,72.4109539,1,1,1,0,3,0,3,0,0,2,0,0,1,0,0,1,0
188,Gujarat,Jagudan,23.5152376,72.4109539,1,1,1,1,0,0,1,0,0,2,0,0,1,0,0,1,0
189,Gujarat,Jagudan,23.5152376,72.4109539,1,1,1,0,4,0,1,0,0,1,0,0,1,0,0,1,0
190,Gujarat,Jagudan,23.5152376,72.4109539,1,1,1,0,0,1,3,0,0,2,0,0,1,0,0,1,0
191,Gujarat,Jagudan,23.5152376,72.4109539,1,1,1,0,3,0,3,0,0,1,0,0,1,0,1,1,0
192,Gujarat,Jagudan,23.5152376,72.4109539,1,1,1,0,2,0,4,0,0,1,0,0,1,0,0,1,0
193,Gujarat,Jagudan,23.5152376,72.4109539,1,1,1,0,4,6,2,0,1,1,0,0,0,0,1,1,0
194,Gujarat,Jagudan,23.5152376,72.4109539,1,1,1,1,2,0,4,0,0,2,0,0,1,0,0,1,0
90,Gujarat,Linch,23.5085136,72.3925319,1,1,1,0,0,0,3,0,0,1,0,0,1,0,0,1,0
91,Gujarat,Linch,23.5085136,72.3925319,1,1,1,0,2,0,4,0,0,2,0,0,1,0,0,1,0
92,Gujarat,Linch,23.5085136,72.3925319,1,1,1,0,1,0,3,0,0,2,0,0,1,0,0,0,0
93,Gujarat,Linch,23.5085136,72.3925319,1,1,1,0,0,0,3,0,0,1,0,0,1,0,0,0,0
94,Gujarat,Linch,23.5085136,72.3925319,1,1,1,0,1,0,2,0,0,1,0,0,1,0,0,1,0
95,Gujarat,Linch,23.5085136,72.3925319,1,1,1,0,1,0,2,0,0,1,0,0,1,0,0,0,0
96,Gujarat,Linch,23.5085136,72.3925319,1,1,1,0,2,0,5,0,0,2,0,0,1,0,0,1,0
97,Gujarat,Linch,23.5085136,72.3925319,1,1,1,0,0,0,2,0,0,2,0,0,1,0,0,1,0
149,Gujarat,Linch,23.5085136,72.3925319,1,1,1,0,0,0,5,0,0,1,0,0,1,0,0,1,0
150,Gujarat,Linch,23.5085136,72.3925319,1,1,1,1,3,0,2,0,0,1,0,0,1,0,0,0,0
151,Gujarat,Linch,23.5085136,72.3925319,1,1,1,0,3,0,3,0,0,2,0,0,0,0,0,0,0
152,Gujarat,Linch,23.5085136,72.3925319,1,1,1,0,2,0,3,0,0,1,0,0,1,0,0,1,0
153,Gujarat,Linch,23.5085136,72.3925319,1,1,1,0,1,0,2,0,0,2,0,0,1,0,0,1,0
154,Gujarat,Linch,23.5085136,72.3925319,1,1,1,0,1,0,2,0,0,0,0,0,1,0,0,1,0
155,Gujarat,Linch,23.5085136,72.3925319,1,1,1,0,5,0,4,0,0,1,0,0,1,0,0,1,0
156,Gujarat,Linch,23.5085136,72.3925319,1,1,1,1,3,0,2,0,0,2,0,0,1,0,0,1,0
157,Gujarat,Linch,23.5085136,72.3925319,1,1,1,0,6,4,4,0,2,1,0,0,1,0,0,1,0
158,Gujarat,Linch,23.5085136,72.3925319,1,1,1,0,1,1,2,0,1,1,0,0,1,0,0,0,0
159,Gujarat,Linch,23.5085136,72.3925319,1,1,1,0,1,0,2,0,0,2,0,0,1,0,0,1,0
160,Gujarat,Linch,23.5085136,72.3925319,1,1,1,0,3,0,4,0,0,2,0,0,1,0,0,1,0
161,Gujarat,Linch,23.5085136,72.3925319,1,1,1,0,3,0,5,0,0,2,0,0,1,0,0,1,0
195,Gujarat,Linch,23.5085136,72.3925319,1,1,1,0,3,0,4,0,0,2,0,0,1,0,0,0,0
196,Gujarat,Linch,23.5085136,72.3925319,0,1,1,0,5,1,4,0,1,2,0,0,1,0,0,1,0
197,Gujarat,Linch,23.5085136,72.3925319,0,1,1,0,2,1,4,0,1,1,0,0,1,0,1,1,0
198,Gujarat,Linch,23.5085136,72.3925319,1,1,1,0,0,0,7,0,0,2,0,0,1,0,0,0,0
199,Gujarat,Linch,23.5085136,72.3925319,1,1,1,0,3,0,4,0,0,2,0,0,1,0,0,0,0
200,Gujarat,Linch,23.5085136,72.3925319,0,1,1,0,1,0,3,0,0,2,0,0,1,0,0,1,0
201,Gujarat,Linch,23.5085136,72.3925319,0,1,1,0,3,0,2,0,0,2,0,0,1,0,0,0,0
202,Gujarat,Linch,23.5085136,72.3925319,1,0,1,0,5,1,4,0,2,2,0,0,1,0,0,1,0
203,Gujarat,Linch,23.5085136,72.3925319,1,1,1,0,1,0,3,0,0,2,0,0,1,0,0,0,0
204,Gujarat,Linch,23.5085136,72.3925319,0,1,1,0,3,0,3,0,0,2,0,0,1,0,0,1,0
205,Gujarat,Linch,23.5085136,72.3925319,1,1,1,0,3,0,7,0,0,2,0,0,1,0,0,1,0
