ID,Region,Community,Latitude,Longitude,Transmission_A,Transmission_B,Transmission_C,Use of trained animal healthcare professional,Frequency of antibiotic purchase,Livestock_1 herd size,Livestock_2 herd size,Livestock_3 herd size,Livestock_1 Disease priority,Livestock_2 Disease priority,Livestock_3 Disease priority,Mixing antibiotics in the same animal,Not completing course,Not measuring dose accurately,Using for prevention,Drink milk from treated animals,Eat meat from treated animals
7,Kajiado,Elangata Wuas,-1.890377,36.602486,1,1,0,0,2,0,30,20,0,2,2,0,1,0,0,0,0
9,Kajiado,Elangata Wuas,-1.890377,36.602486,1,0,1,1,5,52,20,17,2,2,2,1,1,0,1,1,1
10,Kajiado,Elangata Wuas,-1.890377,36.602486,1,1,0,0,3,24,45,100,2,2,2,0,1,0,0,0,0
13,Kajiado,Elangata Wuas,-1.890377,36.602486,1,1,0,2,5,20,0,0,2,2,2,0,1,1,0,0,0
15,Kajiado,Elangata Wuas,-1.890377,36.602486,1,0,0,2,6,45,0,40,2,0,2,1,1,0,0,1,0
17,Kajiado,Elangata Wuas,-1.890377,36.602486,1,0,1,2,10,464,340,155,0,2,2,1,1,0,0,1,1
21,Kajiado,Elangata Wuas,-1.890377,36.602486,1,1,0,2,3,135,109,28,2,2,2,1,0,0,0,1,1
23,Kajiado,Elangata Wuas,-1.890377,36.602486,1,1,0,2,6,0,4,6,0,2,2,1,1,1,0,0,0
24,Kajiado,Elangata Wuas,-1.890377,36.602486,1,1,0,2,2,5,50,50,0,0,2,0,1,1,0,0,0
27,Kajiado,Elangata Wuas,-1.890377,36.602486,1,1,0,2,1,1,20,20,0,0,0,1,0,0,1,1,1
28,Kajiado,Elangata Wuas,-1.890377,36.602486,1,1,0,2,2,1,10,10,0,0,1,0,0,0,1,1,0
30,Kajiado,Elangata Wuas,-1.890377,36.602486,1,1,0,0,5,210,0,50,1,0,0,1,1,0,1,0,0
8,Kajiado,Elangata Wuas,-1.890377,36.602486,1,0,0,1,24,85,0,0,2,0,2,1,1,0,1,1,1
12,Kajiado,Elangata Wuas,-1.890377,36.602486,1,1,0,1,3,18,18,50,2,2,2,0,1,0,0,0,0
14,Kajiado,Elangata Wuas,-1.890377,36.602486,1,1,0,2,5,60,45,20,2,1,2,1,1,0,0,0,1
16,Kajiado,Elangata Wuas,-1.890377,36.602486,1,1,0,2,5,30,90,25,2,2,2,0,1,0,0,0,1
18,Kajiado,Elangata Wuas,-1.890377,36.602486,1,0,1,2,5,65,86,106,2,2,2,0,1,0,0,1,1
22,Kajiado,Elangata Wuas,-1.890377,36.602486,1,1,0,2,5,55,78,45,2,2,2,1,1,0,0,1,1
20,Kajiado,Elangata Wuas,-1.890377,36.602486,1,1,0,2,5,9,47,56,2,2,2,1,1,0,0,1,1
26,Kajiado,Elangata Wuas,-1.890377,36.602486,1,1,0,2,3,5,10,10,1,2,1,1,1,1,0,1,1
33,Kajiado,Elangata Wuas,-1.890377,36.602486,1,0,0,0,2,5,30,0,2,2,2,1,1,0,0,0,1
12,Kajiado,Elangata Wuas,-1.890377,36.602486,1,1,0,0,3,18,18,50,2,2,2,0,1,0,0,0,0
11,Kajiado,Elangata Wuas,-1.890377,36.602486,1,1,0,0,3,5,8,11,2,2,2,0,1,0,0,1,1
19,Kajiado,Elangata Wuas,-1.890377,36.602486,1,1,0,0,3,0,25,31,0,2,2,0,1,0,0,1,1
25,Kajiado,Elangata Wuas,-1.890377,36.602486,1,1,0,2,8,3,0,21,2,2,1,1,1,0,0,1,1
150,Kajiado,Elangata Wuas,-1.890377,36.602486,0,1,0,2,24,41,100,100,2,1,1,1,1,0,0,0,1
151,Kajiado,Elangata Wuas,-1.890377,36.602486,0,1,0,2,12,18,25,5,2,1,2,0,1,0,1,1,1
