ID,Region,Community,Latitude,Longitude,Transmission_A,Transmission_B,Transmission_C,Use of trained animal healthcare professional,Frequency of antibiotic purchase,Livestock_1 herd size,Livestock_2 herd size,Livestock_3 herd size,Livestock_1 Disease priority,Livestock_2 Disease priority,Livestock_3 Disease priority,Mixing antibiotics in the same animal,Not completing course,Not measuring dose accurately,Using for prevention,Drink milk from treated animals,Eat meat from treated animals
267,Kiambu,Rironi ,-1.159524,36.638149,0,0,1,0,3,4,0,30,0,0,0,0,0,0,0,0,0
268,Kiambu,Rironi ,-1.159524,36.638149,0,0,0,0,2,1,0,0,2,0,0,0,0,0,0,0,0
269,Kiambu,Rironi ,-1.159524,36.638149,0,0,0,0,2,2,1,0,2,0,0,0,0,0,0,0,0
270,Kiambu,Rironi ,-1.159524,36.638149,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0
271,Kiambu,Rironi ,-1.159524,36.638149,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0
272,Kiambu,Rironi ,-1.159524,36.638149,0,0,0,0,0,1,4,12,1,0,0,0,0,0,0,0,0
273,Kiambu,Rironi ,-1.159524,36.638149,0,0,0,2,1,1,0,0,0,0,0,0,1,0,0,1,1
274,Kiambu,Rironi ,-1.159524,36.638149,0,0,0,2,2,1,2,0,2,0,0,0,0,0,0,0,0
275,Kiambu,Rironi ,-1.159524,36.638149,0,0,0,0,5,2,3,16,1,0,0,0,1,0,0,0,0
276,Kiambu,Rironi ,-1.159524,36.638149,0,0,0,0,1,4,16,0,2,0,0,0,0,0,0,1,0
277,Kiambu,Rironi ,-1.159524,36.638149,0,0,0,0,3,10,0,0,1,0,0,0,1,0,0,1,0
278,Kiambu,Rironi ,-1.159524,36.638149,0,0,0,1,0,4,0,0,2,0,0,0,1,0,0,0,0
279,Kiambu,Rironi ,-1.159524,36.638149,0,0,0,2,5,1,0,13,1,0,0,0,1,0,0,0,0
280,Kiambu,Rironi ,-1.159524,36.638149,0,0,0,2,4,2,2,0,1,0,0,0,0,0,0,0,0
281,Kiambu,Rironi ,-1.159524,36.638149,0,1,0,2,3,3,0,42,1,0,1,0,1,1,0,0,0
282,Kiambu,Rironi ,-1.159524,36.638149,0,1,0,0,4,7,4,1000,2,0,0,0,0,0,1,0,0
283,Kiambu,Rironi ,-1.159524,36.638149,0,0,1,0,0,10,3,0,0,0,0,0,0,0,0,0,0
284,Kiambu,Rironi ,-1.159524,36.638149,0,0,0,0,0,0,0,8,2,0,0,0,0,0,0,0,0
285,Kiambu,Rironi ,-1.159524,36.638149,0,0,0,0,0,6,9,0,2,0,0,0,0,0,0,0,0
286,Kiambu,Rironi ,-1.159524,36.638149,0,0,0,0,1,2,0,250,2,0,0,0,0,0,0,0,0
287,Kiambu,Rironi ,-1.159524,36.638149,0,0,0,0,0,0,2,10,0,0,0,1,0,0,1,0,0
288,Kiambu,Rironi ,-1.159524,36.638149,0,0,0,0,0,2,0,5,1,0,1,0,0,0,0,0,0
289,Kiambu,Rironi ,-1.159524,36.638149,0,0,0,2,3,0,3,0,0,0,0,0,0,0,0,0,0
290,Kiambu,Rironi ,-1.159524,36.638149,0,0,0,0,0,4,0,0,2,0,0,0,1,0,0,0,0
291,Kiambu,Rironi ,-1.159524,36.638149,0,0,0,0,0,2,0,26,0,0,0,0,1,0,0,0,0
292,Kiambu,Rironi ,-1.159524,36.638149,0,0,0,0,3,2,0,850,0,0,1,0,0,0,0,0,0
293,Kiambu,Rironi ,-1.159524,36.638149,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0
294,Kiambu,Gatimu,-1.157542,36.649978,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0
295,Kiambu,Gatimu,-1.157542,36.649978,0,0,0,0,1,2,4,25,2,0,1,0,0,0,1,0,0
296,Kiambu,Gatimu,-1.157542,36.649978,0,0,0,0,3,6,4,0,0,0,0,0,0,0,0,0,0
297,Kiambu,Gatimu,-1.157542,36.649978,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0
298,Kiambu,Gatimu,-1.157542,36.649978,0,0,0,0,24,2,0,0,2,0,0,0,1,1,1,0,0
299,Kiambu,Gatimu,-1.157542,36.649978,0,0,0,1,3,3,0,20,2,0,0,0,1,0,0,0,0
300,Kiambu,Gatimu,-1.157542,36.649978,0,0,0,2,3,5,0,20,2,0,1,0,0,0,0,0,0
301,Kiambu,Gatimu,-1.157542,36.649978,0,0,0,2,3,6,0,0,2,0,0,0,0,0,0,0,0
302,Kiambu,Gatimu,-1.157542,36.649978,0,0,0,0,0,9,0,0,2,0,0,0,0,0,0,0,0
303,Kiambu,Gatimu,-1.157542,36.649978,0,0,0,0,2,4,0,0,2,0,0,0,1,0,0,0,0
304,Kiambu,Gatimu,-1.157542,36.649978,0,0,0,0,2,16,5,0,2,0,0,0,0,0,0,1,0
305,Kiambu,Gatimu,-1.157542,36.649978,0,0,0,2,4,7,0,0,2,0,0,0,0,0,0,0,0
306,Kiambu,Gatimu,-1.157542,36.649978,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
307,Kiambu,Gatimu,-1.157542,36.649978,0,0,0,0,0,6,0,0,2,0,0,0,0,0,0,0,0
308,Kiambu,Gatimu,-1.157542,36.649978,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,1,0
309,Kiambu,Gatimu,-1.157542,36.649978,0,0,0,0,1,12,0,55,2,0,0,0,0,0,0,0,0
310,Kiambu,Gatimu,-1.157542,36.649978,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0
311,Kiambu,Gatimu,-1.157542,36.649978,0,0,0,0,0,9,0,20,2,0,0,0,0,0,0,0,0
312,Kiambu,Gatimu,-1.157542,36.649978,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
313,Kiambu,Gatimu,-1.157542,36.649978,0,0,0,0,0,8,4,3,2,0,0,0,0,0,0,0,0
314,Kiambu,Gatimu,-1.157542,36.649978,0,0,0,0,0,1,3,4,0,0,0,0,0,0,0,0,1
315,Kiambu,Gatimu,-1.157542,36.649978,0,0,0,0,0,4,0,14,2,0,0,0,0,0,0,0,0
316,Kiambu,Gatimu,-1.157542,36.649978,0,0,0,2,0,0,2,20,0,0,0,0,0,0,0,0,0
