ID,Region,Community,Latitude,Longitude,Transmission_A,Transmission_B,Transmission_C,Use of trained animal healthcare professional,Frequency of antibiotic purchase,Livestock_1 herd size,Livestock_2 herd size,Livestock_3 herd size,Livestock_1 Disease priority,Livestock_2 Disease priority,Livestock_3 Disease priority,Mixing antibiotics in the same animal,Not completing course,Not measuring dose accurately,Using for prevention,Drink milk from treated animals,Eat meat from treated animals
28,Pune,Boribhadak,18.476024,74.163197,1,0,1,1,1,9,0,0,2,0,0,1,0,0,0,1,0
32,Pune,Boribhadak,18.476024,74.163197,1,1,1,1,2,32,0,0,2,0,0,0,1,0,0,1,0
1,Pune,Hingagaon,18.539479,74.161469,1,1,1,1,1,15,1,15,2,0,0,1,1,0,0,0,0
2,Pune,Hingagaon,18.539479,74.161469,1,1,1,1,1,11,5,30,2,0,0,0,1,1,0,0,0
3,Pune,Hingagaon,18.539479,74.161469,1,1,1,1,1,4,1,0,2,0,0,1,0,0,0,0,0
4,Pune,Hingagaon,18.539479,74.161469,1,1,1,2,1,6,1,0,2,1,0,0,0,0,0,0,0
5,Pune,Hingagaon,18.539479,74.161469,1,0,1,1,0,12,1,0,2,0,0,0,0,0,0,0,0
18,Pune,Hingagaon,18.539479,74.161469,1,1,1,1,1,6,1,15,2,0,0,0,0,0,0,1,0
74,Pune,Hole Wadi Bori-Eindi,18.836991,73.898014,1,0,1,1,1,5,0,6,2,0,0,0,0,0,0,0,0
75,Pune,Hole Wadi Bori-Eindi,18.836991,73.898014,1,1,1,1,1,8,0,6,0,0,0,0,0,0,0,0,0
76,Pune,Hole Wadi Bori-Eindi,18.836991,73.898014,1,0,1,1,1,0,1,3,0,0,0,0,0,0,0,1,0
77,Pune,Hole Wadi Bori-Eindi,18.836991,73.898014,1,0,1,1,2,3,0,4,0,0,0,0,0,0,0,0,0
78,Pune,Hole Wadi Bori-Eindi,18.836991,73.898014,1,0,1,1,1,3,0,15,2,0,0,0,0,0,0,0,0
79,Pune,Hole Wadi Bori-Eindi,18.836991,73.898014,1,0,1,1,1,0,2,10,0,0,0,0,0,0,0,0,0
70,Pune,Jagtap Mala,18.476024,74.163197,1,0,1,1,1,5,0,20000,0,0,0,0,0,0,0,0,0
37,Pune,Khamgaon,18.528485,74.160732,3,0,1,1,2,9,0,10,2,0,0,0,1,0,0,0,0
38,Pune,Khamgaon,18.528485,74.160732,1,1,1,1,0,2,0,20,2,0,0,0,1,0,0,1,0
39,Pune,Khamgaon,18.528485,74.160732,1,0,1,1,1,11,0,15,2,0,0,1,1,0,1,1,0
36,Pune,Khamgaon,18.528485,74.160732,1,0,1,1,1,1,36,50,0,0,2,0,0,0,0,1,0
45,Pune,Khamgaon,18.528485,74.160732,1,0,1,1,1,10,2,50,2,0,0,1,0,0,1,1,0
46,Pune,Khamgaon,18.528485,74.160732,1,0,1,1,1,24,0,20,2,0,0,0,0,0,0,1,0
47,Pune,Khamgaon,18.528485,74.160732,1,0,1,1,1,7,9,0,2,0,0,0,0,0,0,1,0
66,Pune,Lonkar Mala,18.467222,73.890278,1,1,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0
67,Pune,Lonkar Mala,18.467222,73.890278,1,0,1,1,1,1,1,0,2,0,0,0,0,0,0,0,0
68,Pune,Lonkar Mala,18.467222,73.890278,1,1,1,1,1,4,0,0,0,0,0,0,0,0,0,0,0
69,Pune,Lonkar Mala,18.467222,73.890278,1,0,1,1,1,5,3,12,0,0,0,0,0,0,0,0,0
34,Pune,Nandue Borate Vasti,18.552404,73.932779,1,0,1,1,1,3,1,0,2,0,0,0,0,0,0,1,0
30,Pune,Nandue Borate Vasti,18.552404,73.932779,1,0,1,2,1,2,1,10,0,0,2,0,1,0,0,1,0
33,Pune,Nandue Borate Vasti,18.552404,73.932779,1,0,1,1,2,6,0,15,2,0,0,1,0,0,0,0,0
31,Pune,Nandue Borate Vasti,18.552404,73.932779,1,0,1,1,2,6,0,25,2,0,0,1,1,0,0,0,0
22,Pune,Sahajpur,18.49886,74.177756,1,1,1,1,1,54,1,0,2,0,0,0,1,0,1,0,0
23,Pune,Sahajpur,18.49886,74.177756,1,0,1,1,1,16,0,0,2,0,0,1,1,0,0,1,0
24,Pune,Sahajpur,18.49886,74.177756,0,1,1,1,2,41,0,0,2,0,0,1,1,0,0,1,0
25,Pune,Sahajpur,18.49886,74.177756,1,0,1,1,1,14,0,0,2,0,0,1,1,0,0,1,0
26,Pune,Sahajpur,18.49886,74.177756,1,1,1,1,2,8,8,50,0,1,0,0,1,0,0,0,0
27,Pune,Sahajpur,18.49886,74.177756,1,1,1,1,1,24,0,0,0,0,0,1,0,0,0,0,0
